"Project ID","2"
"Project","OneApp"
"Exported at","2026-01-30T17:42:57.282Z"

"Case","Description","Folder","Notes","Preconditions","Priority","Steps (Expected)","Steps (Step)","Case ID","Automation","Configurations","Created at","Created by","Estimate","Expected","Forecast","Issues","State","Status (latest)","Status date","Steps (Text)","Tags","Template","Updated at","Updated by"
"[RegisterDevicePushNotification] - Retry Registration After App Background and Foreground","","Old / Deprecated","<p>Retiring this Test Case as the Background / Foreground logic won't be implemented</p>","<ol><li>Feature Flag: <code>EnableNewMutationForPushNotificationRegistration</code><ol><li>Enabled: <code>true</code> --&gt; <code>RegisterDeviceForPushNotifications</code> endpoint</li></ol></li><li>No token is cached.</li></ol>","Critical","<p>Verify <code>RegisterDeviceForPushNotifications</code> shows as failed</p>
<p>Verify <code>RegisterDeviceForPushNotifications</code> is trigger again with the retry logic applied.</p>","<p>Login to app and breakpoint <code>RegisterDeviceForPushNotifications</code> to fail including all retries</p>
<p>background/foreground the app</p>","29932","No","","2025-01-13T22:59:53.176Z","Gemma Diaz Santa Cruz","","","64","188759657,188762615","Retired","","","","","Case (steps)","2025-01-28T22:54:28.895Z","Gemma Diaz Santa Cruz"
"Register Notifications","","Old / Deprecated","","<ul><li>Clean Installation</li><li>User is logged out</li></ul>","Retired","<p>App should trigger the Push Notification registration endpoint</p>","<p>User logs in for the first time</p>","822","No","","2023-08-01T23:08:23.205Z","Diego Del Aguila","","","61","","Retired","Passed","2024-08-21T16:26:04.123Z","","","Case (steps)","2025-01-28T22:54:28.895Z","Gemma Diaz Santa Cruz"
"Failed Registration Call","","Old / Deprecated","","<p>API Failures should be a 503 response, do this by doing a map local to the Register Push Notifications Endpoints</p>","Retired","<p>The app should retry the call with the following schedule:</p><ol><li>First Retry 30 seconds after the first API call failed.</li><li>Second Retry 60 seconds after the previous API call fails.</li><li>Third Retry 90 seconds after the previous API call fails.</li><li>Fourth and Last Retry 120 seconds after the last API call fails.</li></ol>","<p>Log in or launch the App and Fail the Register Push Notifications</p>","1616","No","","2023-08-28T20:13:25.109Z","Diego Del Aguila","","","332.5","","Retired","Passed","2024-09-05T20:55:26.057Z","","","Case (steps)","2025-01-28T22:54:28.895Z","Gemma Diaz Santa Cruz"
"Add Vehicle","","Old / Deprecated","","<p>User is on the Vehicle Selector screen</p>","Retired","<p>User should see Add Vehicle screen</p>","<p>1. Tap on Add Vehicle</p>","581","Yes","Android, Prod,Prod, iOS","2023-08-01T23:08:20.014Z","Diego Del Aguila","","","39.969","","Retired","Failed","2026-01-28T00:37:16.265Z","","","Case (steps)","2026-01-06T17:48:42.455Z","Diego Del Aguila"
"Set/update Mileage Value","","Old / Deprecated","","<p>User has a non-connected/UNKNOWN vehicle</p><p>if a vehicle returns telematicsProgram as NON_CONNECTED / UNKNOWN</p><p>status  as EXPIRED / UNKNOWN / NOT_ENROLLED / FAILED</p>","Retired","<p>User should see Mileage card in empty state</p>
<p>User should see Estimated Mileage screen with a field for manually entering Mileage</p>
<p>User is able to enter a value into mileage field</p>
<p>User is able to save their mileage and shows last updated date</p>
<p>User is able to save the updated value</p><p>The updated value shows along with last updated date</p>
<p>User should see the corresponding mileage on the Mileage card</p><p>And also on the Schedule Service flow - the entered mileage should show on Additonal Information screen &gt; Estimated Vehicle Milegage</p>","<p>Tap on Vehicle tab</p>
<p>Tap on Mileage card</p>
<p>Enter a value into the mileage field</p>
<p>Tap Save</p>
<p>Update value in mileage field</p><p>Tap on save</p>
<p>Tap Back button</p>","891","No","Android, Prod,Prod, iOS","2023-08-04T12:57:01.058Z","Kristina Mnoyan","","","107.133","","Retired","Passed","2025-08-08T22:05:08.018Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Estimate Route Map w/ Waypoints","","Old / Deprecated","<p>[Update the case] The User and Vehicle Location buttons are hidden from the Estimate Route Screen</p>","<p>User has estimated a route</p>","Medium","<p>1. User should see a map view of origin, stops, EV waypoints on route, and destination<br /><br />User should see info draw with:<br />- Total trip time and distance<br />- Origin (with time), stop in between, and destination (with time)<br />- Edit Route button<br />- Save Route button<br />- Disclaimer text fully visible<br /><br />2. User should see map pan to user location<br />3. User should see map pan to vehicle location</p>","<p>1. User is on Estimate Route screen<br />2. Tap on User Location button<br />3. Tap on Vehicle Location button</p>","779","Yes","Android, Prod,Prod, iOS","2023-08-01T23:08:22.575Z","Diego Del Aguila","","","192.4","","Retired","Failed","2026-01-28T00:37:16.265Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Accident Helper","","Old / Deprecated","","<p>The user is on the Support tab</p>","Medium","","","30158","No","Android, Prod,Prod, iOS","2025-02-05T15:06:27.429Z","Enrique Alcaide","60","<p>The user should see the accident helper screen</p>","27.667","","Retired","","","<p>Tap on accident helper </p>","","Case (text)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Stolen Vehicle","","Old / Deprecated","<p><s>- needs update - </s><a href=""https://www.pivotaltracker.com/story/show/184785552""><s>https://www.pivotaltracker.com/story/show/184785552</s></a></p><ul><li>updated, pending review. will remove update-required tag after this is verified</li><li>Automation: step 2 &amp; 3 aren't automated as they require mocking capabilities</li><li>iOS automation: can't automate tapping on Call CTA as simulator doesn't have a phone/dialer app to validate number</li></ul>","<p>There is a vehicle in the account</p>","Critical","<p>The user should see an enabled Stolen Vehicle button</p>
<p>The user should see a disabled Stolen Vehicle button and upon tapping, the user should see an alert modal with the option to call an agent (1-855-426-6628)</p>
<p>The user should not the Stolen Vehicle button</p>","<p>Mock <code>capabilities.status</code> value as <code>ENROLLED</code> or <code>STOLEN</code></p>
<p>Mock <code>capabilities.status</code> value as <code>FAILED</code>, <code>EXPIRED</code>, or <code>NOT_ENROLLED</code>, tap the disabled button</p>
<p>Mock <code>capabilities.status</code> value as <code>UNKNOWN</code></p>","30159","No","Android, Prod,Prod, iOS","2025-02-05T15:06:27.429Z","Enrique Alcaide","180","","268.3","","Retired","","","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Vehicle Health Report - No Items","<p>Mock below for VehicleHealthReport</p><pre><code class=""editor-plain language-plain code-block"">
{
""data"": {
""vehicle"": {
""__typename"": ""AVK2Vehicle"",
""vehicleHealthReport"": []
}
}
}</code></pre>","Old / Deprecated","","<p>User is on the Vehicle Profile sheet, has the VHR capability and has no VHR items</p>","Low","<p>User should not see any reports, instead label <code>""Vehicle Health Report is unavailable at this time. Your next report will be sent within the next 30 days.""</code></p>","<p>1. Tap Vehicle Health Report item</p>","30008","Yes","Android, Prod,Prod, iOS","2025-01-21T17:11:01.149Z","Enrique Alcaide","","","51.222","","Retired","Failed","2026-01-28T00:37:16.265Z","","automation-candidate,general-sweep,regression","Case (steps)","2025-11-11T20:47:16.533Z","Gemma Diaz Santa Cruz"
"Vehicle Health Report - Items","","Old / Deprecated","","<p>User is on the Vehicle Profile sheet, has the VHR capability and has VHR items</p>","Low","<p>User should see the VHR items as individual CTAs with the date of the report in the CTA<br /><br />User is able to open the selected VHR</p>","<p>1. Tap Vehicle Health Report item</p>","30009","Yes","Android, Prod,Prod, iOS","2025-01-21T17:11:01.149Z","Enrique Alcaide","","","55.286","","Retired","Failed","2026-01-28T00:37:16.265Z","","automation-candidate,general-sweep,regression","Case (steps)","2025-11-11T20:47:25.058Z","Gemma Diaz Santa Cruz"
"Schedule Service - Call Retailer","","Old / Deprecated","","<p>User is in Schedule Service flow</p>","Medium","<p>1. User is able to call the Retailer<br /><br />Note: If number is not available, the CTA will be disabled</p>","<p>1. Tap on Call Retailer</p>","1574","No","Android, Prod,Prod, iOS","2023-08-28T20:13:24.386Z","Diego Del Aguila","","","69.667","","Retired","Passed","2024-08-30T13:30:39.251Z","","regression","Case (steps)","2025-12-09T18:05:22.840Z","Michael Muluneh"
"Notifications","","Old / Deprecated","","<p>User is on the homescreen</p>","Medium","<p>1. User should see the main notifications sheet<br />2. User should see the empty state messages tab<br />3. User should see fake data on the activity history tab</p>","<p>1. Tap the Notifications card<br />2. Observe the messages tab<br />3. Switch to the activity history tab</p>","1456","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.358Z","Diego Del Aguila","","","81.8","","Retired","Failed","2025-07-17T07:57:31.646Z","","androidautomated-nna,iosautomated-nna,regression","Case (steps)","2025-12-16T19:34:06.915Z","Gemma Diaz Santa Cruz"
"Verify the Health report card is not displayed under Notification Preferences screen","<h3>CONTEXT</h3><p>NNA will officially sunset the VHR across <u>all</u> TSP types effective January 1, 2026. To ensure a smooth transition, the VHR will be sunset no later than Friday, December 19th (avoiding holiday conflicts).</p><p>For this purpose, BTL will make a modification in GraphQL to stop relaying the VEHICLE_HEALTH_REPORT</p><p><strong>Apply for: All Model Year, all models, Nissan and INFINITI, NNA and NCI)</strong></p>","Old / Deprecated","","","Low","<p>Verify <code>Vehicle Health Report</code> card is not shown</p>
<p>Verify <code>Vehicle Health Report</code> card is not shown</p>
<p>Verify <code>Vehicle Health Report</code> card is not shown</p>","<p>Launch Demo mode &gt; Select LEAF Demo &gt; Tap on <strong>Envelop </strong>icon<strong> </strong>&gt; <strong>Gear</strong> icon &gt; Scroll down to <code>General Notifications</code> card</p>
<p>Launch Demo mode &gt; Select Rogue Platinum Demo &gt; Tap on <strong>Envelop </strong>icon<strong> </strong>&gt; <strong>Gear</strong> icon &gt; Scroll down to <code>General Notifications</code> card</p>
<p>Launch Demo mode &gt; Select Rogue SV Demo&gt; Tap on <strong>Envelop </strong>icon<strong> </strong>&gt; <strong>Gear</strong> icon &gt; Scroll down to <code>General Notifications</code> card</p>","61984","No","Android, Prod,Prod, iOS","2025-11-11T21:18:48.953Z","Gemma Diaz Santa Cruz","","","","86b7bfxt6,86b7bfy78","Retired","","","","avk1,avk2,evs,nci,nna","Case (steps)","2025-12-16T19:35:18.988Z","Gemma Diaz Santa Cruz"
"Demo Mode - Vehicle Page - AVK2","<p>This TC is to validate the Rogue AVK2 Demo Features</p>","Old / Deprecated","","<p>Vehicle selected is the <code>Rogue AVK2</code> (Rogue Platinum Demo)</p>","Sanity","<p>User should see dummy data for the Rogue Platinum Demo on the Status Section:</p><ul><li>MIL Icon</li><li>Vehicle Status Icon</li></ul>
<p>User should be navigated to Vehicle Profile screen and see dummy data for the Vehicle</p>
<p>User should see the demo mode alert modal</p>
<p>The user should be navigated to the <code>Remote Data Wipe</code> page</p>
<p>User should see the demo mode alert modal</p>
<p>User should be navigated to a Find a Dealer screen with no search results screen</p>
<p>User should see the demo mode alert modal</p>
<p>The user should be navigated to the Vehicle Status Page showing the tab depending on the user selection</p>
<p>The user should see the <code>12-Volt Battery Warning</code> MIL Page, tapping on the <code>Schedule Service</code> CTA should trigger the demo mode alert modal</p>
<p>User should se a card for <code>Vehicle Status card (Window Open)</code> without any caret, or being clickable</p>
<p>The user should be driven to the Maintenance Schedule page with dummy data for the Rogue AVK2, the sections that should be displayed are:</p><ul><li>Driving Conditions</li><li>Mileage Until Next Service</li><li>Estimated Next Service</li><li>Maintenance Reminders</li><li>Vehicle Mileage</li></ul>
<p>User should see the demo mode alert modal</p>
<p>The user should be navigated to the Maintenance Reminders page with data for future and overdue parts reminders</p>
<p>User should see the demo mode alert modal</p>
<p>User should see the demo mode alert modal</p>","<p>Tap Vehicle in the bottom nav </p>
<p>Tap on the Vehicle Profile button</p>
<p>Tap any of the cards in the Vehicle Profile screen, except for <code>Remote Data Wipe</code></p>
<p>Tap on <code>Remote Data Wipe</code></p>
<p>While on the Page above, click on the <code>Delete Data</code> CTA</p>
<p>Return to the Vehicle Page and tap on the Schedule Service/Find a Dealer buttons</p>
<p>Tap on the Service History button</p>
<p>Tap on the MIL Status card (12-Volt Battery Warning) or the Vehicle Status card (Window Open)</p>
<p>On the Vehicle Status Page, tap on the MIL tab and click the <code>12-Volt Battery Warning</code> card</p>
<p>Return to the Vehicle Status Page, tap on the Vehicle tab</p>
<p>Return to the Vehicle Page and Tap on the <code>View Maintenance Schedule</code> card</p>
<p>Tap on any of the elements of the page except for the <code>See All</code> button on the Parts Replacement Reminder Section</p>
<p>Tap on  the <code>See All</code> button on the Maintenance Reminders Section </p>
<p>Tap on any of the elements of the page (except (i)</p>
<p>Return to the Vehicle Page and tap on the Est. Mileage card</p>","16000","Yes","Android, Prod,Prod, iOS","2024-04-30T20:03:19.157Z","Diego Del Aguila","","","618.222","","Active","Failed","2026-01-28T00:37:16.265Z","","automation-candidate,ccs2,general-sweep,regression,smoke","Case (steps)","2025-10-06T06:51:05.413Z","Arjun"
"Toggle Alerts","","Old / Deprecated","","","Medium","<p>User should be able to toggle any of the alerts on and off</p>","<p>1. Toggle any alerts on/off</p>","1454","Yes","Android, Prod,Prod, iOS","2023-08-28T20:13:22.327Z","Diego Del Aguila","","","42.6","","Retired","Failed","2025-07-17T07:57:31.646Z","","androidautomated-nna,iosautomated-nna,regression","Case (steps)","2025-12-17T21:44:07.370Z","Gemma Diaz Santa Cruz"
